# NextExplorer — العربية (ar). key<TAB>value. لغة تُكتب من اليمين إلى اليسار.
common.cancel	إلغاء
settings.signingOut	جارٍ تسجيل الخروج…
settings.dateFormatNavigationTitle	تنسيق التاريخ
settings.dateFormatShowTime	إظهار الوقت
serverDetails.navigationTitle	الخادم
serverDetails.changeLogo	تغيير الأيقونة
serverDetails.takePhoto	التقاط صورة
serverDetails.chooseFromGallery	الرفع من المعرض
serverDetails.nameLabel	اسم الخادم
serverDetails.namePlaceholder	Explorer
serverDetails.nameErrorEmpty	لا يمكن أن يكون اسم الخادم فارغًا.
serverDetails.urlLabel	عنوان URL للخادم
serverDetails.urlFootnote	العنوان الذي تم تثبيت نسخة NextExplorer الخاصة بك عليه. لتغييره، سجّل الخروج وأضف الخادم مرة أخرى.
serverDetails.updateButton	تحديث الخادم
serverDetails.savedMessage	تم تحديث تفاصيل الخادم.
serverDetails.logoErrorTooLarge	تلك الصورة كبيرة جدًا. اختر واحدة أقل من 2 ميغابايت.
serverDetails.cameraDeniedTitle	الوصول إلى الكاميرا متوقف
serverDetails.cameraDeniedMessage	فعّل الوصول إلى الكاميرا في الإعدادات لالتقاط صورة.
licenses.navigationTitle	تراخيص المصدر المفتوح
licenses.sectionSoftware	البرامج
licenses.sectionFontSoftware	برامج الخطوط
licenses.labelAuthor	المؤلف
licenses.labelOriginalVersion	الإصدار الأصلي
licenses.labelModifiedVersion	الإصدار المعدّل
licenses.labelReservedFontName	اسم الخط المحجوز
fileInfo.navigationTitleFolder	مجلد
fileInfo.rowKind	النوع
fileInfo.rowSize	الحجم
fileInfo.rowLocation	الموقع
fileInfo.rowDateModified	تاريخ التعديل
fileInfo.rowDateCreated	تاريخ الإنشاء
fileInfo.rowFiles	الملفات
fileInfo.rowFolders	المجلدات
fileInfo.rowTotalSize	الحجم الإجمالي
fileInfo.sectionServerDisk	قرص الخادم
fileInfo.diskFreeOf	%1$@ متاح من %2$@
fileInfo.rowDimensions	الأبعاد
fileInfo.rowCamera	الكاميرا
fileInfo.rowLens	العدسة
fileInfo.rowDateTaken	تاريخ الالتقاط
fileInfo.rowDuration	المدة
fileInfo.partialScan	تم احتساب فحص جزئي: هذا المجلد كبير جدًا.
permissions.title	الأذونات
permissions.sectionMode	الوضع
permissions.numericLabel	رقمي
permissions.applyToEnclosed	تطبيق على العناصر المضمّنة
permissions.applyPermissions	تطبيق الأذونات
permissions.sectionOwnership	الملكية
permissions.fieldOwner	المالك
permissions.fieldGroup	المجموعة
permissions.ownershipNote	عادةً ما يتطلب تغيير الملكية صلاحيات الجذر أو المسؤول على الخادم.
permissions.applyOwnership	تطبيق الملكية
permissions.scopeOwner	المالك
permissions.scopeGroup	المجموعة
permissions.scopeOthers	الآخرون
permissions.rightRead	قراءة
permissions.rightWrite	كتابة
permissions.rightExecute	تنفيذ
archive.emptyFolder	هذا المجلد فارغ.
archive.openFailed	تعذّر فتح هذا الملف.
archive.openArchiveFailed	تعذّر فتح هذا الأرشيف.
archive.entryTooLarge	هذا العنصر كبير جدًا بحيث لا يمكن فتحه.
gallery.loadFailed	تعذّر تحميل هذه الصورة.
textPreview.saved	تم الحفظ
textPreview.loadFailed	تعذّر تحميل هذا الملف. تحقق من اتصالك وأعد المحاولة.
userManagement.navigationTitle	إدارة المستخدمين
userManagement.searchPrompt	البحث عن مستخدمين
userManagement.createUser	إنشاء مستخدم
userManagement.badgeAdmin	مسؤول
userManagement.emptyList	لا مستخدمين بعد.
userManagement.noSearchMatches	لا مستخدمين يطابقون ‏«%@».
userManagement.loadFailed	تعذّر الوصول إلى الخادم.
userManagement.sortType	النوع
userManagement.sortName	الاسم
userManagement.sortEmail	البريد الإلكتروني
userManagement.tabProfile	الملف الشخصي
userManagement.tabSecurity	الأمان
userManagement.tabVolumes	وحدات التخزين
userManagement.createNavigationTitle	إنشاء مستخدم
userManagement.createEmailField	البريد الإلكتروني
userManagement.createEmailPlaceholder	name@example.com
userManagement.createUsernameField	اسم المستخدم (اختياري)
userManagement.createUsernamePlaceholder	مشتق من البريد الإلكتروني
userManagement.createPasswordField	كلمة السر
userManagement.createPasswordPlaceholder	‏%lld حرفًا على الأقل
userManagement.createGrantAdminToggle	منح وصول المسؤول
userManagement.createGrantAdminSubtitle	تحكّم كامل في الملفات والمشاركات والمستخدمين.
userManagement.createSubmit	إنشاء مستخدم
userManagement.setPasswordNavigationTitle	كلمة السر
userManagement.setPasswordNewField	كلمة سر جديدة
userManagement.setPasswordPlaceholder	‏%lld حرفًا على الأقل
userManagement.setPasswordResetTitle	إعادة تعيين كلمة السر
userManagement.setPasswordSetTitle	تعيين كلمة السر
userManagement.setPasswordResetIntro	عيّن كلمة سر محلية جديدة لـ %@. ستتوقف كلمة سره الحالية عن العمل.
userManagement.setPasswordSetIntro	امنح %@ كلمة سر محلية ليتمكن من تسجيل الدخول دون SSO.
userManagement.toastProfileUpdated	تم تحديث الملف الشخصي
userManagement.toastAdminGranted	تم منح صلاحية المسؤول
userManagement.toastUserRemoved	تمت إزالة المستخدم
userManagement.toastUserCreated	تم إنشاء المستخدم
userManagement.toastPasswordUpdated	تم تحديث كلمة السر
userManagement.toastVolumeSaved	تم حفظ وحدة التخزين
userManagement.toastVolumeRemoved	تمت إزالة وحدة التخزين
userManagement.errorEmailRequired	البريد الإلكتروني مطلوب.
userManagement.errorEmailInvalid	أدخل عنوان بريد إلكتروني صالحًا.
userManagement.errorUsernameRequired	اسم المستخدم مطلوب.
userManagement.errorEmailInUse	البريد الإلكتروني مستخدم بالفعل.
userManagement.errorPasswordTooShort	استخدم %lld حرفًا على الأقل.
userDetail.fallbackName	مستخدم
userDetail.sectionGeneralInfo	معلومات عامة
userDetail.sectionRoles	الأدوار والأذونات
userDetail.sectionLocalPassword	كلمة السر المحلية
userDetail.sectionSSO	الدخول الموحّد
userDetail.sectionAssignedVolumes	وحدات التخزين المعيّنة
userDetail.profileDisplayNameField	الاسم المعروض
userDetail.profileDisplayNamePlaceholder	الاسم المعروض
userDetail.profileUsernameField	اسم المستخدم
userDetail.profileUsernamePlaceholder	اسم المستخدم
userDetail.profileEmailField	البريد الإلكتروني
userDetail.profileEmailPlaceholder	name@example.com
userDetail.profileSave	حفظ التغييرات
userDetail.roleAdmin	مسؤول
userDetail.roleAdminSubtitle	تحكّم كامل في الملفات والمشاركات والمستخدمين.
userDetail.roleAdminLocked	لا يمكن تخفيض رتبة المسؤولين من التطبيق.
userDetail.roleGrantAdmin	منح المسؤول
userDetail.passwordHasLocal	يسجّل هذا المستخدم الدخول ببريد إلكتروني وكلمة سر.
userDetail.passwordSSOOnly	ليس لهذا المستخدم كلمة سر محلية: SSO فقط.
userDetail.passwordReset	إعادة تعيين كلمة السر
userDetail.passwordSet	تعيين كلمة السر
userDetail.ssoNone	لا مزوّدو SSO مرتبطون.
userDetail.ssoBadge	SSO
userDetail.ssoLinked	مرتبط
userDetail.dangerZoneTitle	منطقة الخطر
userDetail.dangerZoneSubtitle	إزالة مستخدم يلغي وصوله فورًا. لا تُحذف الملفات التي يملكها على الخادم.
userDetail.dangerZoneRemoveUser	إزالة المستخدم
userDetail.volumesNone	لا وحدات تخزين معيّنة.
userDetail.volumesNoneSubtitle	يرى هذا المستخدم المساحة المشتركة الافتراضية فقط.
userDetail.volumesAssign	تعيين وحدة تخزين
userDetail.volumesFootnote	تمنح وحدات التخزين المستخدم وصولاً إلى دليل خارج المساحة المشتركة الافتراضية. إزالة وحدة تخزين لا تحذف الملفات أبدًا.
userDetail.volumeEditAccessibility	تحرير %@
userDetail.volumeRemoveAccessibility	إزالة %@
userDetail.removeVolumeTitle	إزالة وحدة التخزين؟
userDetail.removeVolumeMessage	تم إلغاء تعيين %@ من هذا المستخدم. لا يتأثر الدليل نفسه.
userDetail.removeUserTitle	إزالة المستخدم؟
userDetail.removeUserMessage	يفقد %@ الوصول فورًا. لا تُحذف ملفاته على الخادم.
userDetail.volumeSheetLabelField	التسمية
userDetail.volumeSheetLabelPlaceholder	تسمية وحدة التخزين
userDetail.volumeSheetAccessMode	وضع الوصول
userDetail.volumeSheetDirectory	الدليل
userDetail.volumeSheetSaveEdit	حفظ وحدة التخزين
userDetail.volumeSheetSaveNew	تعيين وحدة تخزين
userDetail.volumeSheetTitleEdit	تحرير وحدة التخزين
userDetail.volumeSheetTitleNew	تعيين وحدة تخزين
userDetail.directoryPickerGoUp	الصعود دليلاً واحدًا
userDetail.directoryPickerUseThis	استخدام هذا الدليل
userDetail.directoryPickerOpen	فتح %@
userDetail.directoryPickerFailed	تعذّر سرد الأدلة.
previewToolbar.close	إغلاق
previewToolbar.createShareLink	إنشاء رابط مشاركة
previewToolbar.download	تنزيل
previewToolbar.delete	حذف
previewToolbar.share	مشاركة
previewToolbar.rename	إعادة تسمية
login.serverQuestion	أين توجد نسخة NextExplorer الخاصة بك؟
login.testConnection	اختبار الاتصال
login.emailField	البريد الإلكتروني
login.passwordField	كلمة السر
login.submit	تسجيل الدخول
login.plaintextWarning	هذا الاتصال غير مشفّر. تُرسل كلمة سرك وجلستك كنص عادي عبر الشبكة المحلية.
error.sessionExpired	انتهت صلاحية جلستك. سجّل الدخول مرة أخرى.
error.rateLimited	طلبات كثيرة جدًا. أعد المحاولة قريبًا.
error.network	تعذّر الوصول إلى الخادم.
error.offline	أنت غير متصل. اتصل بالإنترنت وأعد المحاولة.
error.decoding	استجاب الخادم بشكل غير متوقع.
error.server	خطأ في الخادم (%lld).
error.forbidden	ليس لديك إذن للقيام بذلك.
changePassword.navigationTitle	تغيير كلمة السر
changePassword.intro	غيّر كلمة السر التي تستخدمها لتسجيل الدخول ببريدك الإلكتروني. ستبقى مسجّل الدخول على هذا الجهاز.
changePassword.fieldCurrentPassword	كلمة السر الحالية
changePassword.fieldNewPasswordLabel	كلمة سر جديدة
changePassword.fieldConfirmPasswordLabel	تأكيد كلمة السر الجديدة
changePassword.fieldConfirmPassword	أعد إدخال كلمة السر الجديدة
changePassword.fieldNewPasswordPrompt	‏%lld حرفًا على الأقل
changePassword.submitButton	تحديث كلمة السر
changePassword.success	تم تحديث كلمة سرك.
changePassword.errorMinLength	استخدم %lld حرفًا على الأقل.
changePassword.errorMismatch	كلمتا السر غير متطابقتين.
login.portHint	أضف منفذًا (مثل :3000). معظم خوادم المنزل لا تستمع على المنفذ 80 العادي.
login.errorInvalidServer	أدخل عنوان خادم صالحًا.
login.errorInvalidEmail	أدخل عنوان بريد إلكتروني صالحًا.
login.errorInvalidCredentials	اسم المستخدم أو كلمة السر غير صحيحة.
login.errorSessionExpired	انتهت صلاحية جلستك. يُرجى تسجيل الدخول مرة أخرى.
login.errorIncomplete	لم يكتمل تسجيل الدخول. يُرجى إعادة المحاولة.
login.errorUnreachable	تعذّر الوصول إلى ذلك الخادم. تحقق من العنوان وأعد المحاولة.
login.errorUnexpectedResponse	استجابة غير متوقعة من الخادم.
login.errorKeychain	تعذّر حفظ جلستك على هذا الجهاز.
login.errorDecoding	استجاب الخادم بشكل غير متوقع. تحقق من العنوان وأعد المحاولة.
login.errorNoLocalAuth	هذا الخادم لا يتيح تسجيل الدخول باسم المستخدم وكلمة السر.
login.errorRateLimited	محاولات كثيرة جدًا. يُرجى الانتظار بضع دقائق وإعادة المحاولة.
login.errorServer	واجه الخادم مشكلة (خطأ %lld). يُرجى إعادة المحاولة لاحقًا.
browse.nameErrorReserved	هذا الاسم غير مسموح به.
browse.nameErrorSeparators	لا يمكن أن يحتوي الاسم على / أو \.
browse.searchMatchLine	السطر %1$lld: %2$@
browse.searchMatchLineLabel	السطر %lld
createShare.errorPasswordRequired	أدخل كلمة سر أو أوقف الحماية بكلمة سر.
filter.sheetTitle	التصفية حسب النوع
filter.button	تصفية
filter.all	جميع الأنواع
filter.folders	المجلدات
filter.images	الصور
filter.videos	الفيديوهات
filter.audio	الصوت
filter.documents	المستندات
filter.archives	الأرشيفات
filter.other	أخرى
language.navigationTitle	اللغة
language.systemDefault	إعداد النظام الافتراضي
language.systemDefaultSubtitle	اتّبع لغة جهازك
common.copy	نسخ
common.copied	تم النسخ
